Date,Open,High,Low,Close,Adj Close,Volume
2020-06-03,69.379997,70.449997,68.809998,70.339996,70.339996,620500
2020-06-04,70.269997,70.714996,67.459999,67.860001,67.860001,697900
2020-06-05,68.980003,69.296997,66.580002,66.930000,66.930000,702100
2020-06-08,67.000000,70.629997,66.900002,70.320000,70.320000,778400
2020-06-09,69.830002,70.099998,68.650002,69.320000,69.320000,608700
2020-06-10,69.760002,71.519997,69.339996,70.779999,70.779999,727900
2020-06-11,68.660004,69.550003,67.019997,67.470001,67.470001,894100
2020-06-12,69.169998,69.339996,67.000000,68.660004,68.660004,499500
2020-06-15,63.700001,67.779999,63.700001,67.239998,67.239998,1714600
2020-06-16,69.389999,71.108002,68.910004,70.459999,70.459999,1798900
2020-06-17,70.730003,70.839996,67.449997,67.779999,67.779999,737400
2020-06-18,67.650002,68.070000,66.570000,67.790001,67.790001,729600
2020-06-19,68.120003,69.769997,66.669998,69.769997,69.769997,3557700
2020-06-22,70.099998,72.860001,69.449997,72.580002,72.580002,1332900
2020-06-23,73.709999,73.900002,72.089996,72.400002,72.400002,1064100
2020-06-24,72.000000,72.809998,69.459999,69.870003,69.870003,835600
2020-06-25,70.110001,71.000000,68.370003,69.500000,69.500000,512000
2020-06-26,69.559998,70.040001,66.970001,67.870003,67.870003,679000
2020-06-29,68.040001,68.110001,66.019997,67.459999,67.459999,536100
2020-06-30,67.629997,68.970001,66.860001,68.900002,68.900002,947100
2020-07-01,68.540001,72.059998,68.540001,71.800003,71.800003,898500
2020-07-02,72.730003,73.180000,70.809998,71.059998,71.059998,529700
2020-07-06,71.980003,71.980003,67.970001,68.400002,68.400002,1249400
2020-07-07,68.160004,69.099998,66.279999,66.870003,66.870003,1595300
2020-07-08,67.769997,68.050003,66.000000,67.510002,67.510002,2136400
2020-07-09,68.000000,68.739998,65.760002,68.190002,68.190002,666500
2020-07-10,67.839996,68.790001,67.250000,67.879997,67.879997,700600
2020-07-13,68.720001,68.889999,65.000000,65.129997,65.129997,897900
2020-07-14,64.949997,66.339996,64.010002,66.110001,66.110001,1203800
2020-07-15,66.940002,67.300003,65.440002,66.949997,66.949997,940100
2020-07-16,66.269997,67.480003,65.910004,66.440002,66.440002,1473100
2020-07-17,66.589996,66.730003,64.370003,65.279999,65.279999,583300
2020-07-20,65.080002,66.949997,65.400002,66.120003,66.120003,226475
